iter	Passed	Remaining
786	40363	216077
787	40418	216045
788	40472	216009
789	40527	215973
790	40578	215921
791	40629	215869
792	40679	215809
793	40727	215740
794	40777	215685
795	40829	215638
796	40883	215598
797	40933	215542
798	40986	215502
799	41036	215440
800	41088	215394
801	41132	215302
802	41183	215251
803	41231	215185
804	41282	215131
805	41331	215066
806	41380	215003
807	41429	214939
808	41478	214876
809	41526	214808
810	41579	214769
811	41631	214721
812	41683	214672
813	41727	214585
814	41774	214509
815	41826	214464
816	41880	214426
817	41933	214386
818	41984	214330
819	42045	214330
820	42097	214283
821	42146	214217
822	42194	214148
823	42239	214070
824	42287	214002
825	42344	213979
826	42396	213929
827	42446	213873
828	42494	213803
829	42543	213744
830	42593	213685
831	42640	213610
832	42689	213552
833	42746	213525
834	42805	213516
835	42860	213481
836	42906	213406
837	42950	213318
838	43024	213378
839	43074	213319
840	43124	213264
841	43171	213190
842	43223	213144
843	43280	213120
844	43333	213079
845	43384	213025
846	43443	213011
847	43492	212950
848	43541	212888
849	43588	212815
850	43637	212751
851	43680	212659
852	43733	212616
853	43782	212554
854	43837	212522
855	43889	212475
856	43939	212417
857	44001	212419
858	44049	212350
859	44097	212282
860	44147	212226
861	44193	212147
862	44248	212117
863	44301	212072
864	44342	211971
865	44390	211906
866	44441	211854
867	44490	211791
868	44530	211688
869	44578	211620
870	44629	211566
871	44676	211497
872	44726	211437
873	44766	211333
874	44813	211261
875	44862	211199
876	44913	211150
877	44980	211171
878	45035	211139
879	45084	211075
880	45130	211003
881	45177	210930
882	45227	210874
883	45274	210801
884	45322	210736
885	45368	210660
886	45422	210625
887	45474	210577
888	45528	210539
889	45577	210475
890	45624	210404
891	45672	210338
892	45720	210275
893	45776	210243
894	45824	210180
895	45876	210129
896	45925	210068
897	45982	210044
898	46032	209988
899	46083	209935
900	46134	209882
901	46185	209832
902	46232	209762
903	46283	209707
904	46333	209651
905	46383	209598
906	46437	209557
907	46484	209485
908	46523	209382
909	46570	209311
910	46624	209273
911	46675	209218
912	46722	209149
913	46774	209104
914	46814	209003
915	46867	208957
916	46917	208902
917	46972	208870
918	47025	208824
919	47081	208796
920	47132	208742
921	47186	208706
922	47243	208680
923	47293	208623
924	47349	208594
925	47392	208507
926	47445	208461
927	47491	208390
928	47545	208352
929	47596	208299
930	47650	208258
931	47703	208217
932	47750	208147
933	47792	208056
934	47843	208004
935	47891	207938
936	47942	207888
937	48002	207875
938	48044	207782
939	48090	207711
940	48133	207622
941	48178	207544
942	48226	207483
943	48279	207440
944	48325	207364
945	48373	207301
946	48427	207263
947	48481	207220
948	48529	207157
949	48579	207100
950	48624	207026
951	48672	206961
952	48713	206867
953	48751	206759
954	48797	206686
955	48844	206617
956	48887	206531
957	48936	206472
958	48994	206449
959	49044	206396
960	49091	206328
961	49138	206258
962	49189	206209
963	49234	206129
964	49281	206063
965	49329	205998
966	49373	205917
967	49433	205906
968	49481	205842
969	49535	205801
970	49592	205776
971	49640	205710
972	49692	205665
973	49742	205607
974	49788	205538
975	49837	205479
976	49887	205423
977	49940	205377
978	49995	205342
979	50045	205286
980	50095	205233
981	50141	205159
982	50193	205113
983	50241	205050
984	50287	204980
985	50337	204923
986	50385	204858
987	50436	204810
988	50484	204743
989	50523	204646
990	50572	204586
991	50624	204538
992	50677	204495
993	50725	204434
994	50773	204369
995	50821	204306
996	50870	204245
997	50919	204189
998	50974	204154
999	51025	204103
1000	51077	204056
1001	51117	203960
1002	51175	203937
1003	51223	203871
1004	51271	203809
1005	51319	203746
1006	51366	203680
1007	51421	203645
1008	51469	203581
1009	51520	203532
1010	51571	203481
1011	51619	203418
1012	51671	203372
1013	51725	203330
1014	51770	203256
1015	51819	203197
1016	51869	203143
1017	51921	203094
1018	51979	203073
1019	52027	203009
1020	52068	202921
1021	52121	202874
1022	52172	202824
1023	52221	202765
1024	52268	202699
1025	52314	202629
1026	52362	202568
1027	52423	202555
1028	52477	202513
1029	52525	202453
1030	52561	202343
1031	52608	202277
1032	52653	202204
1033	52701	202142
1034	52750	202081
1035	52799	202023
1036	52853	201983
1037	52908	201948
1038	52974	201953
1039	53021	201890
1040	53072	201837
1041	53114	201751
1042	53167	201710
1043	53215	201646
1044	53261	201577
1045	53297	201472
1046	53349	201422
1047	53411	201412
1048	53460	201354
1049	53495	201243
1050	53541	201177
1051	53589	201112
1052	53639	201058
1053	53689	201005
1054	53740	200954
1055	53785	200880
1056	53831	200811
1057	53885	200772
1058	53941	200739
1059	53999	200716
1060	54049	200658
1061	54097	200599
1062	54151	200559
1063	54200	200499
1064	54246	200432
1065	54290	200354
1066	54345	200321
1067	54400	200282
1068	54449	200224
1069	54496	200161
1070	54536	200069
1071	54587	200017
1072	54636	199959
1073	54683	199894
1074	54731	199834
1075	54780	199774
1076	54832	199729
1077	54885	199686
1078	54942	199655
1079	54997	199619
1080	55049	199573
1081	55099	199519
1082	55150	199467
1083	55193	199388
1084	55252	199368
1085	55302	199312
1086	55352	199259
1087	55408	199226
1088	55443	199119
1089	55490	199053
1090	55540	198997
1091	55589	198940
1092	55628	198848
