iter	Accuracy	Logloss
1704	0.8305639707	0.3812281671
1705	0.8305639707	0.381226912
1706	0.8305945714	0.3812252983
1707	0.8305945714	0.3812233559
1708	0.8305945714	0.3812230869
1709	0.8305945714	0.3812035431
1710	0.8306251721	0.3811882727
1711	0.8306251721	0.3811874359
1712	0.8306251721	0.381186898
1713	0.8306557728	0.3811731815
1714	0.8306557728	0.3811731217
1715	0.8306557728	0.3811403097
1716	0.8306557728	0.3811089619
1717	0.8306557728	0.381108932
1718	0.8306557728	0.3811083343
1719	0.8306557728	0.3811074079
1720	0.8306557728	0.3811072286
1721	0.8307169742	0.3811014611
1722	0.8307169742	0.3811014611
1723	0.8307169742	0.3811004451
1724	0.8307169742	0.3811004152
1725	0.8307169742	0.3810997279
1726	0.8307781756	0.3810763291
1727	0.8307169742	0.3810487765
1728	0.8307781756	0.3810183253
1729	0.8308087763	0.380975293
1730	0.8308087763	0.3809751436
1731	0.8307169742	0.3809531494
1732	0.8307169742	0.3809531195
1733	0.8307169742	0.380953
1734	0.8307169742	0.380953
1735	0.8307169742	0.3809529701
1736	0.8307475749	0.3809523724
1737	0.8306863735	0.3809209051
1738	0.8306863735	0.380920935
1739	0.8306863735	0.380920935
1740	0.8306863735	0.380920935
1741	0.8306863735	0.3809206063
1742	0.8306863735	0.3809200086
1743	0.8306863735	0.380918873
1744	0.8306863735	0.3809189328
1745	0.8306863735	0.3809189029
1746	0.8306557728	0.3809057243
1747	0.8306557728	0.3809054852
1748	0.8306557728	0.380905037
1749	0.8306557728	0.3809047083
1750	0.8306557728	0.3809045887
1751	0.8306557728	0.380904529
1752	0.8306557728	0.3809039014
1753	0.8306557728	0.3808987913
1754	0.8306863735	0.3808866885
1755	0.8306863735	0.3808863897
1756	0.8306863735	0.3808825347
1757	0.8307169742	0.380873988
1758	0.8307169742	0.3808738087
1759	0.8307169742	0.380873749
1760	0.8307169742	0.3808737191
1761	0.8307169742	0.3808702825
1762	0.8307781756	0.3808674435
1763	0.8307781756	0.3808639173
1764	0.8307781756	0.3808634093
1765	0.8307781756	0.3808633196
1766	0.8307781756	0.38086323
1767	0.8307781756	0.380862722
1768	0.8307781756	0.3808624829
1769	0.8307781756	0.3808620047
1770	0.8307781756	0.380861945
1771	0.8306863735	0.3808428793
1772	0.8307781756	0.380810904
1773	0.8307781756	0.380810904
1774	0.8307781756	0.3808109339
1775	0.8307169742	0.3808100374
1776	0.8307169742	0.3808100672
1777	0.8307475749	0.3808096489
1778	0.8307169742	0.3807810205
1779	0.8307169742	0.3807795562
1780	0.8307169742	0.3807767173
1781	0.8307169742	0.3807749541
1782	0.8306557728	0.3807582792
1783	0.8306557728	0.3807582792
1784	0.8306557728	0.3807577114
1785	0.8306557728	0.3807576815
1786	0.8306557728	0.3807575918
1787	0.8307169742	0.3807507186
1788	0.8307169742	0.3807505393
1789	0.8308087763	0.3807330874
1790	0.8308087763	0.3807330276
1791	0.8308087763	0.3807245108
1792	0.830839377	0.380715486
1793	0.8307781756	0.380710615
1794	0.8308087763	0.3807104357
1795	0.8308087763	0.3807102265
1796	0.8308087763	0.3807101966
1797	0.8307475749	0.3806904735
1798	0.8307475749	0.3806902942
1799	0.8307475749	0.3806840486
1800	0.8307475749	0.3806840187
1801	0.8307475749	0.3806838394
